Date,Week_Numeric,Week_String,Sleep_Metric_Type,Value_in_Seconds,Rested
5/20/2025,3,Tuesday,Sleep Duration,30120,Yes
5/21/2025,4,Wednesday,Sleep Duration,27540,Yes
5/22/2025,5,Thursday,Sleep Duration,28800,Yes
5/23/2025,6,Friday,Sleep Duration,31380,No
5/24/2025,7,Saturday,Sleep Duration,25440,No
5/25/2025,1,Sunday,Sleep Duration,19380,No
5/26/2025,2,Monday,Sleep Duration,24360,Yes
5/27/2025,3,Tuesday,Sleep Duration,27900,No
5/28/2025,4,Wednesday,Sleep Duration,31200,No
5/29/2025,5,Thursday,Sleep Duration,29160,No
5/30/2025,6,Friday,Sleep Duration,28680,No
5/31/2025,7,Saturday,Sleep Duration,32400,No
6/1/2025,1,Sunday,Sleep Duration,29940,Yes
6/2/2025,2,Monday,Sleep Duration,29520,No
6/3/2025,3,Tuesday,Sleep Duration,29700,Yes
6/4/2025,4,Wednesday,Sleep Duration,25800,Yes
6/5/2025,5,Thursday,Sleep Duration,24360,Yes
6/6/2025,6,Friday,Sleep Duration,26520,No
6/7/2025,7,Saturday,Sleep Duration,27660,Yes
6/8/2025,1,Sunday,Sleep Duration,30420,Yes
6/9/2025,2,Monday,Sleep Duration,29640,No
6/10/2025,3,Tuesday,Sleep Duration,27000,No
6/11/2025,4,Wednesday,Sleep Duration,31140,No
6/12/2025,5,Thursday,Sleep Duration,35580,No
6/13/2025,6,Friday,Sleep Duration,30060,No
6/14/2025,7,Saturday,Sleep Duration,32580,No
6/15/2025,1,Sunday,Sleep Duration,29580,No
6/16/2025,2,Monday,Sleep Duration,24660,Yes
6/17/2025,3,Tuesday,Sleep Duration,34740,Yes
6/18/2025,4,Wednesday,Sleep Duration,23820,No
6/19/2025,5,Thursday,Sleep Duration,24420,No
6/20/2025,6,Friday,Sleep Duration,26940,Yes
6/21/2025,7,Saturday,Sleep Duration,22680,Yes
6/22/2025,1,Sunday,Sleep Duration,25200,Yes
6/23/2025,2,Monday,Sleep Duration,16260,No
6/24/2025,3,Tuesday,Sleep Duration,31920,No
6/25/2025,4,Wednesday,Sleep Duration,26820,Yes
6/26/2025,5,Thursday,Sleep Duration,28680,Yes
6/27/2025,6,Friday,Sleep Duration,28740,Yes
6/28/2025,7,Saturday,Sleep Duration,28380,Yes
6/29/2025,1,Sunday,Sleep Duration,30540,Yes
6/30/2025,2,Monday,Sleep Duration,30960,Yes
7/1/2025,3,Tuesday,Sleep Duration,27540,Yes
7/2/2025,4,Wednesday,Sleep Duration,31200,Yes
7/3/2025,5,Thursday,Sleep Duration,29820,No
7/4/2025,6,Friday,Sleep Duration,31560,No
